地址,经度,纬度,是否精确,可信度,地址类型,坐标系,错误
红河哈尼族彝族自治州,103.3815491,23.36999625,,20,城市,bd09,
文山壮族苗族自治州,104.222569,23.40599429,,20,城市,bd09,
西双版纳傣族自治州,100.8034468,22.01360125,,20,城市,bd09,
大理白族自治州,100.2745828,25.61212842,,20,城市,bd09,
保山,99.16801176,25.11785803,,20,城市,bd09,
临沧地,100.0954404,23.89046856,,20,城市,bd09,
秦皇岛,119.5259672,39.8947272,,20,城市,bd09,
保定,115.4714638,38.87998777,,20,城市,bd09,
沧州,116.8455808,38.31021514,,20,城市,bd09,
廊坊,116.6905817,39.54336666,,20,城市,bd09,
衡水,115.6754061,37.74519141,,20,城市,bd09,
松原,124.8314819,45.14740419,,20,城市,bd09,
银南,121.1738113,32.2622793,,50,村庄,bd09,
宁夏,121.6292886,29.85767922,,75,购物,bd09,
自贡,104.7844488,29.34558492,,20,城市,bd09,
攀枝花,101.7255412,26.58803317,,20,城市,bd09,
广元,105.8504232,32.44161631,,20,城市,bd09,
乐山,103.7725376,29.55794072,,20,城市,bd09,
南充,106.1175026,30.84378251,,20,城市,bd09,
达州,107.4745939,31.21430772,,20,城市,bd09,
凉山彝族自治州,102.2735027,27.8877523,,20,城市,bd09,
眉山,103.8565633,30.08252612,,20,城市,bd09,
昌吉回族自治州,87.31500162,44.01685416,,20,城市,bd09,
博尔塔拉蒙古自治州,82.07291476,44.91219641,,20,城市,bd09,
伊犁哈萨克自治州直辖县,81.33053775,43.92272314,,20,城市,bd09,
吕梁地,111.1504497,37.52449775,,20,城市,bd09,
晋中,112.7595948,37.69283941,,20,城市,bd09,
贺州,111.5735263,24.4094509,,20,城市,bd09,
防城港,108.3604188,21.69300529,,20,城市,bd09,
贵港,109.6055203,23.11744838,,20,城市,bd09,
崇明,121.4035569,31.62856998,,20,区县,bd09,
台州,121.4274347,28.66219406,,20,城市,bd09,
浙江,120.1595331,30.27154839,,20,省份,bd09,
南岸,106.6684298,29.5026831,,,,,
江北,106.5804151,29.61283231,,,,,
万州,108.4155584,30.81362164,,20,区县,bd09,
张家界,110.4855325,29.12281556,,20,城市,bd09,
湘西土家族苗族自治州,109.7455766,28.3173691,,20,城市,bd09,
湖南,112.9896025,28.11827,,20,省份,bd09,
澳门,113.5494636,22.19291958,,20,城市,bd09,
三亚,109.5185567,18.25873629,,20,城市,bd09,
五指山,109.5235403,18.7809941,,20,区县,bd09,
洋浦开发,121.378708,30.22696038,,50,村庄,bd09,
海南,110.3555365,20.02580196,,20,省份,bd09,
临夏回族自治州,103.2163906,35.60756218,,20,城市,bd09,
甘肃,103.8331822,36.06645501,1,100,,bd09,
池州,117.502082,30.68054196,,20,城市,bd09,
亳州,115.7844632,33.8506427,,20,城市,bd09,
湛江,110.3655544,21.27672344,,20,城市,bd09,
汕尾,115.3815526,22.79126304,,20,区县,bd09,
江苏,118.7695516,32.06677694,,20,省份,bd09,
乌兰察布盟,113.1746194,40.97943279,,75,购物,bd09,
黔西南布依族苗族自治州,104.9124921,25.09396735,,20,城市,bd09,
安顺,105.9544171,26.25925238,,20,城市,bd09,
黔东南苗族侗族自治州,107.9894462,26.58970297,,20,城市,bd09,
黔南布依族苗族自治州,107.5284027,26.2606162,,20,城市,bd09,
江西,115.9154232,28.68169052,,20,省份,bd09,
鞍山,123.0013725,41.1150536,,20,城市,bd09,
葫芦岛,120.8433983,40.71736444,,20,城市,bd09,
荆州,112.2455226,30.34084211,,20,城市,bd09,
鄂州,114.9016074,30.39657217,,20,城市,bd09,
仙桃,113.4496094,30.33358775,,20,区县,bd09,
潜江,112.9054741,30.40835793,,20,区县,bd09,
恩施土家族苗族自治州,109.4945926,30.27793958,,20,城市,bd09,
天门,113.1724092,30.66962183,,20,区县,bd09,
随州,113.38945,31.69651677,,20,城市,bd09,
商洛,109.9244179,33.87863385,,20,城市,bd09,
陕西,108.9603931,34.27580801,,20,省份,bd09,
杨凌高新农业示范,121.2467845,30.04149135,,50,村庄,bd09,
菏泽,115.487545,35.23940742,,20,城市,bd09,
青岛增补,120.3894552,36.0722275,,20,城市,bd09,
潍坊增补,119.1683779,36.71265155,,20,城市,bd09,
牡丹江,129.6395398,44.55624571,,20,城市,bd09,
鸡西,130.9756187,45.30087232,,20,城市,bd09,
楚雄彝族自治州,101.5344125,25.05177357,,20,城市,bd09,
德宏傣族景颇族自治州,98.59135936,24.4380107,,20,城市,bd09,
张家口,114.8925722,40.7732372,,20,城市,bd09,
承德,117.9693975,40.95785601,,20,城市,bd09,
广西,108.3345212,22.821269,,20,省份,bd09,
舟山,122.2135563,29.99091168,,20,城市,bd09,
陇南,104.9668643,33.37603216,,20,城市,bd09,
黄山,118.3454373,29.72188979,,20,城市,bd09,
广东,113.2724289,23.13794856,,20,省份,bd09,
呼伦贝尔,119.7848691,49.1727328,,20,城市,bd09,
兴安盟,122.0443645,46.08846371,,20,城市,bd09,
内蒙古自治,111.6722691,40.81774435,,50,NoClass,bd09,
昌都地,97.17733325,31.14866181,,20,城市,bd09,
盘锦,122.1771182,40.725791,,20,城市,bd09,
山东,117.0274416,36.67485665,,20,省份,bd09,
佳木斯,130.3273591,46.80568999,,20,城市,bd09,
黑龙江,106.1364992,29.48708098,,50,村庄,bd09,
怒江傈僳族自治州,98.86328838,25.82370742,,20,城市,bd09,
延边朝鲜族自治州,129.4773763,42.91574303,,20,城市,bd09,
巴音郭愣蒙古自治州,83.72967767,42.83771791,,25,乡镇,bd09,
朔州,112.4393709,39.33710837,,20,城市,bd09,
忻州,112.7406242,38.42238339,,20,城市,bd09,
山西,112.5693755,37.87982942,,20,省份,bd09,
锡林郭勒盟,116.0543914,43.93942267,,20,城市,bd09,
林芝地,94.49058455,29.58068174,,25,乡镇,bd09,
福建,117.1423023,39.22917591,,80,餐饮,bd09,
